SysTime,Real_UAV_X,Real_UAV_Y,Real_UAV_Z,Real_Boat_X,Real_Boat_Y,Real_Boat_Z
1.77305e+09,-1.95097,-0.0427619,2.01493,0,0,0.269875
1.77305e+09,-1.95095,-0.042154,2.01529,0,0,0.269875
1.77305e+09,-1.95093,-0.0415013,2.01569,0,0,0.269875
1.77305e+09,-1.95091,-0.0408979,2.01608,0,0,0.269876
1.77305e+09,-1.95089,-0.0403437,2.01646,0,0,0.269876
1.77305e+09,-1.95088,-0.0399761,2.01672,0,0,0.269876
1.77305e+09,-1.95085,-0.0389283,2.0175,0,0,0.269876
1.77305e+09,-1.95083,-0.0383878,2.01793,0,0,0.269876
1.77305e+09,-1.95081,-0.0378077,2.0184,0,0,0.281577
1.77305e+09,-1.95079,-0.0372777,2.01884,0,0,0.281577
1.77305e+09,-1.95077,-0.036623,2.01938,0,0,0.281577
1.77305e+09,-1.95076,-0.0363206,2.01961,0,0,0.281577
1.77305e+09,-1.9507,-0.0353416,2.02025,0,0,0.281577
1.77305e+09,-1.95065,-0.0347984,2.02047,0,0,0.281577
1.77305e+09,-1.95058,-0.0343037,2.02055,0,0,0.281577
1.77305e+09,-1.95048,-0.0338153,2.02046,0,0,0.290466
1.77305e+09,-1.95033,-0.0332934,2.02015,0,0,0.290466
1.77305e+09,-1.95026,-0.0330947,2.01996,0,0,0.290466
1.77305e+09,-1.9498,-0.0322326,2.01856,0,0,0.290466
1.77305e+09,-1.94921,-0.0315418,2.01664,0,0,0.290466
1.77305e+09,-1.94868,-0.0310882,2.01489,0,0,0.290466
1.77305e+09,-1.94796,-0.0306027,2.01254,0,0,0.290466
1.77305e+09,-1.94715,-0.0301595,2.00991,0,0,0.296441
1.77305e+09,-1.94608,-0.0296846,2.00651,0,0,0.296441
1.77305e+09,-1.94458,-0.0291428,2.00184,0,0,0.296441
1.77305e+09,-1.94277,-0.0286069,1.9963,0,0,0.296441
1.77305e+09,-1.94091,-0.0281468,1.99076,0,0,0.296441
1.77305e+09,-1.9386,-0.0276552,1.984,0,0,0.296441
1.77305e+09,-1.93614,-0.027202,1.97693,0,0,0.296441
1.77305e+09,-1.93402,-0.0268551,1.97097,0,0,0.296441
1.77305e+09,-1.92997,-0.0262683,1.95976,0,0,0.299471
1.77305e+09,-1.92644,-0.0258215,1.95023,0,0,0.299471
1.77305e+09,-1.92285,-0.0254102,1.9407,0,0,0.299471
1.77305e+09,-1.91787,-0.0248969,1.92775,0,0,0.299471
1.77305e+09,-1.91233,-0.0243839,1.91365,0,0,0.299471
1.77305e+09,-1.91035,-0.0242129,1.90869,0,0,0.299471
1.77305e+09,-1.89944,-0.0233564,1.88193,0,0,0.299471
1.77305e+09,-1.89203,-0.0228407,1.86429,0,0,0.29949
1.77305e+09,-1.88506,-0.0223922,1.84805,0,0,0.29949
1.77305e+09,-1.87636,-0.0218723,1.82822,0,0,0.29949
1.77305e+09,-1.86628,-0.0213148,1.80578,0,0,0.29949
1.77305e+09,-1.86093,-0.0210347,1.79407,0,0,0.29949
1.77305e+09,-1.84506,-0.0202596,1.76023,0,0,0.29949
1.77305e+09,-1.83489,-0.0197981,1.73913,0,0,0.29949
1.77305e+09,-1.82241,-0.0192623,1.7138,0,0,0.29652
1.77305e+09,-1.81183,-0.0188311,1.6928,0,0,0.29652
1.77305e+09,-1.79786,-0.0182889,1.66568,0,0,0.29652
1.77305e+09,-1.79303,-0.0181074,1.65643,0,0,0.29652
1.77305e+09,-1.76421,-0.0170847,1.60281,0,0,0.29652
1.77305e+09,-1.75097,-0.0166434,1.57894,0,0,0.29652
1.77305e+09,-1.73602,-0.0161636,1.55253,0,0,0.29652
1.77305e+09,-1.72165,-0.0157195,1.52768,0,0,0.290598
1.77305e+09,-1.70549,-0.0152372,1.50027,0,0,0.290598
1.77305e+09,-1.70295,-0.0151629,1.49601,0,0,0.290598
1.77305e+09,-1.6699,-0.0142336,1.44193,0,0,0.290597
1.77305e+09,-1.64897,-0.013676,1.4088,0,0,0.290597
1.77305e+09,-1.63015,-0.0131933,1.37974,0,0,0.290597
1.77305e+09,-1.60769,-0.0126377,1.34586,0,0,0.290597
1.77305e+09,-1.58913,-0.0121947,1.31854,0,0,0.281761
1.77305e+09,-1.57328,-0.0118268,1.29565,0,0,0.281761
1.77305e+09,-1.54055,-0.0110952,1.24963,0,0,0.281761
1.77305e+09,-1.51856,-0.0106234,1.2196,0,0,0.281761
1.77305e+09,-1.4925,-0.0100833,1.18491,0,0,0.28176
1.77305e+09,-1.47113,-0.0096551,1.15718,0,0,0.28176
1.77305e+09,-1.44749,-0.00919546,1.1272,0,0,0.28176
1.77305e+09,-1.4252,-0.00877554,1.09962,0,0,0.28176
1.77305e+09,-1.39676,-0.00825709,1.06532,0,0,0.270116
1.77305e+09,-1.37744,-0.00791579,1.0426,0,0,0.270116
1.77305e+09,-1.34796,-0.00741087,1.00878,0,0,0.270116
1.77305e+09,-1.3118,-0.00681701,0.968692,0,0,0.270116
1.77305e+09,-1.29137,-0.00649319,0.946692,0,0,0.270116
1.77305e+09,-1.254,-0.00592205,0.907651,0,0,0.270116
1.77305e+09,-1.22869,-0.00555014,0.882064,0,0,0.270116
1.77305e+09,-1.20094,-0.00515566,0.854782,0,0,0.255771
1.77305e+09,-1.17503,-0.00479963,0.830033,0,0,0.255771
1.77305e+09,-1.14228,-0.004366,0.799725,0,0,0.255771
1.77305e+09,-1.11361,-0.00400084,0.774059,0,0,0.255771
1.77305e+09,-1.09138,-0.00372692,0.754716,0,0,0.25577
1.77305e+09,-1.05328,-0.00327563,0.722672,0,0,0.25577
1.77305e+09,-1.02391,-0.0029431,0.69891,0,0,0.25577
1.77305e+09,-0.996656,-0.00264611,0.677569,0,0,0.238848
1.77305e+09,-0.962417,-0.00228865,0.651721,0,0,0.238848
1.77305e+09,-0.932622,-0.00199149,0.630084,0,0,0.238848
1.77305e+09,-0.909647,-0.00177103,0.613933,0,0,0.238848
1.77305e+09,-0.863606,-0.00135168,0.582941,0,0,0.238848
1.77305e+09,-0.83596,-0.00111406,0.565196,0,0,0.238848
1.77305e+09,-0.806027,-0.000868597,0.5467,0,0,0.238848
1.77305e+09,-0.771547,-0.000600972,0.526303,0,0,0.219601
1.77305e+09,-0.744037,-0.000398979,0.510716,0,0,0.219601
1.77305e+09,-0.72118,-0.000238907,0.498222,0,0,0.219601
1.77305e+09,-0.675708,5.86616e-05,0.474581,0,0,0.219601
1.77305e+09,-0.646365,0.000235931,0.460169,0,0,0.219601
1.77305e+09,-0.619458,0.000388289,0.447524,0,0,0.219601
1.77305e+09,-0.590529,0.000541174,0.434532,0,0,0.2196
1.77305e+09,-0.564055,0.00067113,0.42318,0,0,0.2196
1.77305e+09,-0.531307,0.000818631,0.409838,0,0,0.19806
1.77305e+09,-0.520483,0.000864142,0.405597,0,0,0.19806
1.77305e+09,-0.47135,0.00105032,0.387369,0,0,0.19806
1.77305e+09,-0.446181,0.00113261,0.378669,0,0,0.19806
1.77305e+09,-0.419308,0.00121058,0.369841,0,0,0.19806
1.77305e+09,-0.384831,0.00129546,0.359189,0,0,0.19806
1.77305e+09,-0.359008,0.00134771,0.35169,0,0,0.19806
1.77305e+09,-0.349207,0.00136496,0.348949,0,0,0.174558
1.77305e+09,-0.299499,0.00143026,0.335891,0,0,0.174558
1.77305e+09,-0.275476,0.00144818,0.330066,0,0,0.174558
1.77305e+09,-0.248491,0.00145735,0.323873,0,0,0.174558
1.77305e+09,-0.227492,0.00145622,0.319297,0,0,0.174558
1.77305e+09,-0.210409,0.00144977,0.315722,0,0,0.174558
1.77305e+09,-0.180645,0.00142623,0.309787,0,0,0.174558
1.77305e+09,-0.158406,0.00139792,0.305572,0,0,0.149409
1.77305e+09,-0.138494,0.00136434,0.301934,0,0,0.149409
1.77305e+09,-0.116428,0.00131747,0.298026,0,0,0.149409
