Time,UAV_X,UAV_Y,UAV_Z,Boat_X,Boat_Y,Boat_Z,Dist_XY,Dist_Z,Rel_Speed,Rel_VZ,Wave_Z,Success,Reason
1.77597e+09,1.06198,20.7846,0.175924,1.10788,21.0788,-0.219735,0.297689,0.395659,0.940749,0.939295,-0.219735,1,Cylinder_Drop_Success
1.77597e+09,0.910068,19.2572,0.457829,0.95958,19.5958,0.1796,0.342173,0.278228,4.41742,0.686848,0.1796,1,Timeout_Acceptable
1.77597e+09,1.29739,23.1149,0.096803,1.33304,23.3304,-0.30124,0.218507,0.398043,0.822884,0.821244,-0.30124,1,Cylinder_Drop_Success
1.77597e+09,0.852072,18.3579,0.282101,0.87012,18.7012,0.499994,0.343754,0.217893,0.733341,0.659379,0.499994,1,Cylinder_Drop_Success
1.77597e+09,1.52058,25.2471,0.107765,1.54279,25.4279,-0.290389,0.182241,0.398154,0.895663,0.883859,-0.290389,1,Cylinder_Drop_Success
1.77597e+09,1.10323,21.1851,0.119014,1.14435,21.4435,-0.272931,0.261652,0.391946,0.812315,0.811923,-0.272931,1,Cylinder_Drop_Success
1.77597e+09,1.3922,23.6433,0.185532,1.39932,23.9932,0.392767,0.349896,0.207235,0.223857,0.113207,0.392767,1,Cylinder_Drop_Success
1.77597e+09,1.07365,20.813,0.10939,1.10172,21.0172,-0.289507,0.206157,0.398898,0.843159,0.842704,-0.289507,1,Cylinder_Drop_Success
1.77597e+09,1.6317,26.4067,0.11112,1.66574,26.6574,-0.281812,0.252984,0.392932,0.952401,0.950109,-0.281812,1,Cylinder_Drop_Success
1.77597e+09,0.983578,19.8825,0.172874,1.01686,20.1686,-0.227068,0.288087,0.399942,0.689417,0.667907,-0.227068,1,Cylinder_Drop_Success
1.77597e+09,1.28353,22.8525,0.236196,1.31471,23.1471,-0.093331,0.296249,0.329527,1.40391,1.39298,-0.093331,1,Cylinder_Drop_Success
1.77597e+09,0.888954,19.0024,0.0866342,0.920796,19.208,-0.311547,0.208048,0.398181,0.928311,0.928123,-0.311547,1,Cylinder_Drop_Success
1.77597e+09,1.04202,20.4755,0.106823,1.07397,20.7397,-0.280719,0.266124,0.387542,0.850803,0.850404,-0.280719,1,Cylinder_Drop_Success
1.77597e+09,1.15135,21.5715,0.114091,1.18045,21.8045,-0.283387,0.23484,0.397478,0.905214,0.904083,-0.283387,1,Cylinder_Drop_Success
