SysTime,Real_UAV_X,Real_UAV_Y,Real_UAV_Z,Real_Boat_X,Real_Boat_Y,Real_Boat_Z,Real_UAV_VZ,Real_Boat_VZ
1.77485e+09,2.30018,12.6619,4.05474,2.39574,14.3744,0.334722,0.00521792,1.51019e-05
1.77485e+09,2.30288,12.6772,4.05482,2.39797,14.3878,0.334722,0.00523392,1.51019e-05
1.77485e+09,2.30521,12.6905,4.05489,2.40009,14.4005,0.334723,0.00524651,1.51019e-05
1.77485e+09,2.30735,12.7028,4.05495,2.40219,14.4131,0.334723,0.00525712,1.51019e-05
1.77485e+09,2.30966,12.716,4.05502,2.40419,14.4252,0.370137,0.00526756,1.37808e-05
1.77485e+09,2.31233,12.7312,4.0551,2.40648,14.4389,0.370137,0.00525862,1.37808e-05
1.77485e+09,2.31709,12.7585,4.05522,2.41118,14.4671,0.370138,0.00337584,1.37808e-05
1.77485e+09,2.31937,12.7716,4.05525,2.41332,14.4799,0.370138,0.000330288,1.37808e-05
1.77485e+09,2.32147,12.7837,4.05523,2.41534,14.4921,0.370138,-0.00456908,1.37808e-05
1.77485e+09,2.32234,12.7887,4.0552,2.4176,14.5056,0.370138,-0.00735763,1.37808e-05
1.77485e+09,2.32598,12.8098,4.05488,2.41983,14.519,0.370138,-0.0248779,1.37808e-05
1.77485e+09,2.32855,12.8248,4.05437,2.42222,14.5333,0.40176,-0.0442631,1.24061e-05
1.77485e+09,2.33076,12.8378,4.05365,2.42428,14.5457,0.40176,-0.0661724,1.24061e-05
1.77485e+09,2.33276,12.8498,4.05272,2.42639,14.5584,0.401761,-0.0907062,1.24061e-05
1.77485e+09,2.3357,12.8678,4.0507,2.42914,14.5748,0.401761,-0.135503,1.24061e-05
1.77485e+09,2.33697,12.8758,4.04952,2.43125,14.5875,0.401761,-0.158496,1.24061e-05
1.77485e+09,2.34001,12.8959,4.04572,2.43394,14.6036,0.401761,-0.223657,1.24061e-05
1.77485e+09,2.34201,12.91,4.04223,2.43622,14.6173,0.401761,-0.275963,1.24061e-05
1.77485e+09,2.34374,12.9231,4.0383,2.43831,14.6298,0.429431,-0.329389,1.08255e-05
1.77485e+09,2.34521,12.9353,4.03403,2.4404,14.6424,0.429431,-0.382706,1.08255e-05
1.77485e+09,2.34664,12.9486,4.02865,2.44254,14.6553,0.429431,-0.444583,1.08255e-05
1.77485e+09,2.34789,12.962,4.02245,2.44465,14.6679,0.429431,-0.510277,1.08255e-05
1.77485e+09,2.349,12.9765,4.0148,2.44699,14.6819,0.429431,-0.583865,1.08255e-05
1.77485e+09,2.34978,12.9901,4.00675,2.44909,14.6946,0.429431,-0.654755,1.08255e-05
1.77485e+09,2.35032,13.006,3.9963,2.45128,14.7077,0.429432,-0.737963,1.08255e-05
1.77485e+09,2.35045,13.0189,3.98704,2.45344,14.7206,0.452818,-0.805167,9.19741e-06
