Time,UAV_X,UAV_Y,UAV_Z,Boat_X,Boat_Y,Boat_Z,Dist_XY,Dist_Z,Rel_Speed,Rel_VZ,Wave_Z,Success,Reason
1.77331e+09,3.00889,18.0394,0.229171,2.96869,17.8121,-0.259603,0.230764,0.488774,0.275517,0.261217,-0.259603,0,Timeout_Fail
1.77331e+09,3.58117,22.6165,0.682096,3.6387,21.8322,-0.402156,0.786357,1.08425,3.34984,2.037,-0.402156,0,Timeout_Fail
1.77331e+09,3.84525,23.4386,0.489896,3.84981,23.0989,0.208806,0.339771,0.28109,0.875456,0.66209,0.208806,1,Timeout_Acceptable
1.77331e+09,2.91565,17.2018,-0.507201,2.85255,17.1153,0.495528,0.107094,1.00273,0.452854,0.135012,0.495528,0,Timeout_Fail
1.77331e+09,4.6677,28.0067,-0.539881,4.59077,27.5446,-0.799088,0.468463,0.259207,0.235966,0.207579,-0.799088,0,Timeout_Fail
1.77331e+09,3.91962,23.4947,0.374366,3.86331,23.1798,-0.181072,0.319861,0.555438,0.272914,0.269035,-0.181072,0,Timeout_Fail
1.77331e+09,3.06267,18.3808,-0.409194,3.17057,19.0234,-0.267819,0.651585,0.141375,0.361378,0.329002,-0.267819,0,Timeout_Fail
1.77331e+09,3.3289,19.9751,0.404994,3.27443,19.6466,-0.0645616,0.333019,0.469555,0.247858,0.246987,-0.0645616,0,Timeout_Fail
1.77331e+09,2.90417,17.4149,-0.151892,2.85084,17.1051,-0.652324,0.314438,0.500432,0.261629,0.222328,-0.652324,0,Timeout_Fail
1.77331e+09,3.52816,20.6216,0.303969,3.38313,20.2988,-0.438498,0.353871,0.742467,0.530664,0.108404,-0.438498,0,Timeout_Fail
1.77331e+09,3.10432,18.1597,0.067836,3.38445,20.3067,-0.50467,2.16515,0.572506,0.29254,0.263194,-0.50467,0,Timeout_Fail
1.77331e+09,3.55221,21.3082,-0.850974,3.48423,20.9054,-0.754944,0.40853,0.0960296,0.332017,0.19411,-0.754944,0,Timeout_Fail
1.77331e+09,2.94573,18.5502,0.411302,2.89518,17.3711,0.327087,1.1802,0.0842147,0.764001,0.53077,0.327087,0,Timeout_Fail
1.77331e+09,3.45977,21.2897,0.0540703,3.41088,20.4653,0.763719,0.825868,0.709649,1.51627,1.16492,0.763719,0,Timeout_Fail
1.77331e+09,3.37999,20.2744,0.00787478,3.34033,20.042,-0.361505,0.235726,0.36938,0.249534,0.241422,-0.361505,1,Timeout_Acceptable
1.77331e+09,2.98889,17.9252,-0.226956,2.95794,17.7477,-0.559406,0.180216,0.332449,0.238894,0.215178,-0.559406,1,Timeout_Acceptable
1.77331e+09,3.76312,22.5804,0.296333,3.70864,22.2519,0.0543628,0.33306,0.24197,0.257328,0.212533,0.0543628,1,Timeout_Acceptable
1.77331e+09,-8.15527,12.9878,-13.2277,3.92851,23.571,-0.773702,16.0631,12.454,13.4638,11.6283,-0.773702,0,Timeout_Fail
1.77331e+09,3.41248,18.5117,-0.115301,3.24827,19.4896,-0.61395,0.991591,0.498649,7.46525,7.0691,-0.61395,0,Timeout_Fail
1.77331e+09,2.81297,16.9538,-0.564682,2.92358,17.5415,0.484652,0.598027,1.04933,0.40236,0.331734,0.484652,0,Timeout_Fail
1.77331e+09,3.71061,22.2625,-0.876549,3.65523,21.9314,-0.701114,0.335747,0.175435,0.307553,0.189751,-0.701114,1,Timeout_Acceptable
1.77331e+09,-0.773011,5.04163,-1.50725,3.40417,20.425,-0.293044,15.9404,1.21421,12.5158,0.647175,-0.293044,0,Timeout_Fail
