Time,UAV_X,UAV_Y,UAV_Z,Boat_X,Boat_Y,Boat_Z,Dist_XY,Dist_Z,Rel_Speed,Rel_VZ,Wave_Z,Success,Reason


1.77458e+09,3.54847,21.7523,-1.07676,3.60568,21.6341,0.418949,0.131368,1.4957,3.92085,2.91452,0.418949,1,Timeout_Acceptable
1.77458e+09,16.3201,0.066038,0.294702,16.7542,0,0.465565,0.439091,0.170864,2.00321,0.508624,0.465565,1,Touchdown_Success
1.77485e+09,3.05781,18.4704,-0.637024,3.14756,18.8854,-0.325135,0.4246,0.311888,2.90498,2.86454,-0.325135,1,Touchdown_Success
1.77485e+09,3.81451,20.2613,-0.360878,3.40443,20.4266,-0.447858,0.442122,0.0869795,2.70763,0.835977,-0.447858,1,Touchdown_Success
1.77485e+09,3.06018,18.2471,-0.0609334,2.96842,17.8105,-0.0337852,0.446166,0.0271481,2.84298,0.302845,-0.0337852,1,Touchdown_Success
1.77485e+09,3.19168,20.7822,0.00534981,3.3971,20.3826,0.427428,0.449285,0.422079,2.61219,1.28179,0.427428,1,Touchdown_Success
1.77485e+09,2.74453,18.1235,0.0695869,2.96164,17.7698,0.00185855,0.414979,0.0677283,2.95471,0.448087,0.00185855,1,Touchdown_Success
1.77485e+09,3.08066,18.0339,-0.411117,2.93543,17.6126,-0.389042,0.445667,0.0220749,1.72529,1.15711,-0.389042,1,Touchdown_Success
