Time,UAV_Plan_X,UAV_Plan_Y,UAV_Plan_Z,UAV_Plan_VX,UAV_Plan_VY,UAV_Plan_VZ
0,1.67587,26.4993,0.420532,0.0844834,1.04253,-0.288884
0.05,1.68011,26.5516,0.405626,0.0848071,1.04784,-0.30739
0.1,1.68435,26.6041,0.389794,0.0850922,1.0523,-0.325853
0.15,1.68862,26.6568,0.373043,0.0853388,1.05592,-0.344138
0.2,1.69289,26.7097,0.355385,0.0855474,1.05871,-0.362115
0.25,1.69717,26.7627,0.336839,0.0857184,1.0607,-0.379661
0.3,1.70146,26.8157,0.317428,0.0858527,1.0619,-0.39666
0.35,1.70575,26.8688,0.297184,0.085951,1.06233,-0.413002
0.4,1.71005,26.9219,0.276141,0.0860146,1.06202,-0.428584
0.45,1.71435,26.975,0.25434,0.0860445,1.06099,-0.44331
0.5,1.71866,27.028,0.231826,0.0860424,1.05926,-0.45709
0.55,1.72296,27.0809,0.208648,0.0860098,1.05688,-0.46984
0.6,1.72726,27.1337,0.18486,0.0859484,1.05387,-0.481484
0.65,1.73155,27.1863,0.160519,0.0858603,1.05027,-0.491952
0.7,1.73584,27.2387,0.135686,0.0857475,1.0461,-0.501181
0.75,1.74013,27.2909,0.110423,0.0856125,1.04141,-0.509113
0.8,1.7444,27.3429,0.0847967,0.0854577,1.03624,-0.515699
0.85,1.74867,27.3945,0.058876,0.0852857,1.03064,-0.520894
0.9,1.75293,27.4459,0.0327311,0.0850995,1.02464,-0.524662
0.95,1.75718,27.497,0.00643406,0.084902,1.01828,-0.526973
1,1.76142,27.5477,-0.0199416,0.0846964,1.01163,-0.527803
1.05,1.76565,27.5982,-0.0463212,0.0844862,1.00474,-0.527134
1.1,1.76987,27.6482,-0.0726298,0.0842748,0.997639,-0.524956
1.15,1.77408,27.6979,-0.0987916,0.0840661,0.990401,-0.521266
1.2,1.77828,27.7473,-0.124731,0.083864,0.983078,-0.516065
1.25,1.78247,27.7962,-0.150373,0.0836724,0.975729,-0.509363
1.3,1.78665,27.8448,-0.175643,0.0834957,0.968415,-0.501176
1.35,1.79082,27.8931,-0.200466,0.0833384,0.961199,-0.491527
1.4,1.79498,27.9409,-0.224772,0.083205,0.954146,-0.480444
1.45,1.79914,27.9885,-0.248488,0.0831003,0.947323,-0.467964
1.5,1.80329,28.0357,-0.271545,0.0830294,0.940801,-0.454129
1.55,1.80744,28.0826,-0.293879,0.0829973,0.93465,-0.438987
1.6,1.81159,28.1292,-0.315423,0.0830094,0.928943,-0.422594
1.65,1.81574,28.1755,-0.336118,0.083071,0.923756,-0.405013
1.7,1.8199,28.2215,-0.355906,0.0831871,0.919156,-0.386312
1.75,1.82406,28.2674,-0.374732,0.0833613,0.915201,-0.366567
1.8,1.82824,28.3131,-0.392547,0.0835966,0.911939,-0.34586
1.85,1.83242,28.3586,-0.409303,0.0838949,0.909405,-0.32428
1.9,1.83663,28.404,-0.424962,0.0842572,0.907628,-0.301924
1.95,1.84085,28.4494,-0.439485,0.0846836,0.906623,-0.278893
2,1.8451,28.4947,-0.452841,0.085173,0.906396,-0.255296
2.05,1.84937,28.54,-0.465007,0.0857236,0.906944,-0.231251
2.1,1.85367,28.5854,-0.475961,0.0863327,0.908252,-0.206878
2.15,1.858,28.6309,-0.485691,0.0869962,0.910294,-0.182309
2.2,1.86237,28.6764,-0.494191,0.0877096,0.913036,-0.157679
2.25,1.86677,28.7222,-0.50146,0.0884671,0.916432,-0.13313
2.3,1.87122,28.7681,-0.507508,0.0892621,0.920426,-0.108813
2.35,1.8757,28.8142,-0.512348,0.0900869,0.924951,-0.0848843
2.4,1.88023,28.8606,-0.516005,0.0909329,0.929932,-0.061506
2.45,1.88479,28.9072,-0.518511,0.0917907,0.93528,-0.0388483
2.5,1.88941,28.9541,-0.519905,0.0926498,0.9409,-0.0170879
2.55,1.89406,29.0013,-0.520238,0.0934987,0.946683,0.00359223
2.6,1.89875,29.0488,-0.519567,0.094325,0.952511,0.023002
2.65,1.90349,29.0966,-0.517962,0.0951153,0.958256,0.0409446
2.7,1.90827,29.1446,-0.515501,0.0958555,0.96378,0.0572168
2.75,1.91308,29.1929,-0.512272,0.0965302,0.968933,0.0716084
2.8,1.91792,29.2415,-0.508375,0.0971232,0.973557,0.0839024
2.85,1.92279,29.2903,-0.50392,0.0976173,0.977481,0.0938753
2.9,1.92768,29.3392,-0.49903,0.0979945,0.980526,0.101297
2.95,1.93258,29.3883,-0.493837,0.0982356,0.982501,0.10593
3,1.9375,29.4375,-0.488487,0.0983207,0.983207,0.10753
