Time,UAV_X,UAV_Y,UAV_Z,Boat_X,Boat_Y,Boat_Z,Dist_XY,Dist_Z,Rel_Speed,Rel_VZ,Wave_Z,Success,Reason
1.77443e+09,4.10572,22.0381,0.0885651,3.69225,22.1535,0.489887,0.429265,0.401322,2.10281,0.461797,0.489887,1,Touchdown_Success
1.77443e+09,2.72951,18.1272,-0.669693,2.95794,17.7476,-0.157841,0.442993,0.511852,2.16945,1.96772,-0.157841,1,Touchdown_Success
1.77443e+09,4.18511,25.0368,-0.265687,4.12047,24.7228,-0.395822,0.320562,0.130135,2.01407,1.62976,-0.395822,1,Touchdown_Success
1.77443e+09,3.1145,18.2824,0.15238,2.97633,17.858,0.351992,0.446397,0.199612,2.40554,0.106484,0.351992,1,Touchdown_Success
1.77443e+09,3.33475,18.5895,0.110141,3.16607,18.9964,0.488224,0.440521,0.378082,2.37877,0.129157,0.488224,1,Touchdown_Success
1.77443e+09,3.13991,17.5733,-0.602367,2.86934,17.2161,-0.393051,0.448089,0.209316,1.82101,0.0256845,-0.393051,1,Touchdown_Success
1.77443e+09,3.30534,19.4151,-0.0639746,3.16611,18.9967,0.436224,0.440955,0.500199,1.98036,0.233112,0.436224,1,Touchdown_Success
1.77443e+09,3.04123,17.0585,-0.533517,2.88658,17.3195,-0.463783,0.30338,0.069734,2.97052,0.0438643,-0.463783,1,Touchdown_Success
1.77443e+09,4.19503,23.9915,0.120316,3.93805,23.6283,0.346063,0.444912,0.225747,2.04743,0.99807,0.346063,1,Touchdown_Success
1.77443e+09,3.31095,20.4942,-0.3623,3.40101,20.4061,-0.499337,0.125979,0.137037,2.7039,2.30441,-0.499337,1,Touchdown_Success
1.77443e+09,3.51835,18.6387,-0.23956,3.09805,18.5883,0.0351457,0.423322,0.274706,2.71781,1.03384,0.0351457,1,Touchdown_Success
1.77443e+09,3.11049,19.3198,-0.196349,3.1882,19.1292,-0.337266,0.205821,0.140917,2.58664,2.12683,-0.337266,1,Touchdown_Success
1.77443e+09,3.24914,20.1787,-0.487757,3.28896,19.7338,-0.0279967,0.446701,0.459761,0.869404,0.305201,-0.0279967,1,Touchdown_Success
1.77443e+09,3.39447,18.5402,0.425204,3.04355,18.2613,0.405335,0.448252,0.0198687,2.59335,0.464253,0.405335,1,Touchdown_Success
1.77443e+09,2.83909,17.4222,-0.212297,2.8294,16.9764,0.218538,0.445943,0.430835,1.6199,0.884492,0.218538,1,Touchdown_Success
1.77443e+09,3.0894,17.7789,-0.303953,2.8988,17.3928,0.137561,0.43058,0.441514,2.18843,1.04346,0.137561,1,Touchdown_Success
1.77443e+09,3.44787,19.9931,0.110869,3.26603,19.5962,0.264381,0.436581,0.153511,1.90758,0.349306,0.264381,1,Touchdown_Success
1.77443e+09,2.80409,19.0994,-0.0366825,3.21068,19.2641,0.368371,0.438656,0.405054,1.4228,0.986643,0.368371,1,Touchdown_Success
1.77443e+09,3.43893,20.2489,0.0391898,3.31674,19.9004,-0.0983535,0.36925,0.137543,2.73396,1.50046,-0.0983535,1,Touchdown_Success
1.77443e+09,2.9908,17.8832,-0.17839,2.90785,17.4471,0.0639445,0.443921,0.242334,1.50026,0.58517,0.0639445,1,Touchdown_Success
1.77443e+09,3.42708,21.6355,-0.00455502,3.53486,21.2091,0.498064,0.439752,0.50262,2.54218,0.385902,0.498064,1,Touchdown_Success
1.77443e+09,3.25561,18.225,-0.510197,2.97902,17.8741,-0.483461,0.44683,0.0267354,1.3829,0.706344,-0.483461,1,Touchdown_Success
1.7745e+09,3.72126,19.9329,-0.332176,3.33801,20.0281,-0.481374,0.394888,0.149198,2.82071,0.121555,-0.481374,1,Touchdown_Success
1.7745e+09,3.01654,18.0493,-0.541564,3.08121,18.4873,-0.303061,0.442712,0.238503,2.66311,0.228362,-0.303061,1,Touchdown_Success
1.7745e+09,3.28084,18.2173,-0.255193,3.06165,18.3699,-0.403716,0.267069,0.148523,2.37972,1.48886,-0.403716,1,Touchdown_Success
1.7745e+09,2.91564,20.015,0.401402,3.29632,19.7779,0.420021,0.448472,0.018619,0.544973,0.208928,0.420021,1,Touchdown_Success
1.7745e+09,2.21077,16.4621,-2.09588,3.51561,21.0937,0.392578,4.81187,2.48846,7.6356,0.337604,0.392578,0,Timeout_Fail
1.7745e+09,2.67526,17.9828,-0.413648,3.0392,18.2352,-0.362344,0.442902,0.0513037,1.67777,1.46907,-0.362344,1,Touchdown_Success
1.7745e+09,3.27128,19.0189,-0.198721,3.1007,18.6042,-0.114904,0.44845,0.0838165,1.58609,0.060361,-0.114904,1,Touchdown_Success
1.7745e+09,3.37403,20.9551,0.446095,3.55813,21.3488,0.394954,0.434562,0.0511413,2.44656,0.190756,0.394954,1,Touchdown_Success
1.7745e+09,2.78779,16.8681,0.467521,2.76498,16.5899,0.498568,0.279154,0.0310471,2.99985,1.5371,0.498568,1,Touchdown_Success
1.7745e+09,2.75342,17.8802,-0.671566,2.91077,17.4646,-0.259444,0.444377,0.412122,2.55541,0.275655,-0.259444,1,Touchdown_Success
1.7745e+09,2.96755,18.2992,0.10478,2.97971,17.8782,-0.491929,0.421119,0.596709,0.907737,0.576204,-0.491929,0,Timeout_Fail
