Time,UAV_Plan_X,UAV_Plan_Y,UAV_Plan_Z,UAV_Plan_VX,UAV_Plan_VY,UAV_Plan_VZ
0,-0.308879,0.000586725,0.35216,1.4883,0.00225502,-0.455095
0.05,-0.238962,0.000655774,0.331222,1.30574,0.000577836,-0.387325
0.1,-0.178504,0.000651666,0.312943,1.11128,-0.000670801,-0.348447
0.15,-0.127898,0.000595681,0.295961,0.913004,-0.00150107,-0.334444
0.2,-0.087127,0.000507965,0.279207,0.719302,-0.00194769,-0.33789
0.25,-0.0557547,0.000406378,0.262028,0.538367,-0.00206692,-0.349944
0.3,-0.0329526,0.000305507,0.244214,0.377645,-0.00193254,-0.361963
0.35,-0.0175508,0.000215913,0.225954,0.243225,-0.001631,-0.366735
0.4,-0.00812244,0.00014364,0.207745,0.139177,-0.00125538,-0.359324
0.45,-0.00310156,9.00903e-05,0.190263,0.0669091,-0.000896318,-0.337537
0.5,-0.000930246,5.24732e-05,0.174222,0.024594,-0.000628198,-0.301981
0.55,-0.000232957,2.50692e-05,0.160244,0.00669392,-0.000490194,-0.255737
0.6,-1.21466e-05,1.57286e-06,0.148747,0.00356928,-0.00046211,-0.203623
